19:34:31: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 602 , 1354128383 , Head Shot ) Er's Head Shot hits Elite Practice Dummy for 602 Physical damage. 
19:34:31: ( 27 , T=P#R=O#211669182557759289 , T=P#R=O#211669182557759289 , T=X#R=X#0 , T=X#R=X#0 , Er , Er , 1 , 1239869022 , Opportunity ) Er's Opportunity gives Er 1 .
19:34:31: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 59 , 1210012596 , Auto Attack ) Er's Auto Attack hits Elite Practice Dummy for 59 Physical damage. 
19:34:31: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 20 , 623296176 , Quick Shot ) Er's Quick Shot hits Elite Practice Dummy for 20 Physical damage. 
19:34:31: ( 3 , T=N#R=O#9223372039469428166 , T=P#R=O#211669182715736592 , T=X#R=X#0 , T=X#R=X#0 , Abyssal Infiltrator , Allyxiss , 9 , 32 , attack ) Abyssal Infiltrator's attack hits Allyxiss for 9 Physical damage. 
19:34:31: ( 3 , T=P#R=O#211669182715736592 , T=N#R=O#9223372039469428166 , T=X#R=X#0 , T=X#R=X#0 , Allyxiss , Abyssal Infiltrator , 102 , 2014675980 , Searing Strike ) Allyxiss's Searing Strike hits Abyssal Infiltrator for 102 Fire damage. 
19:34:32: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 67 , 1740119144 , Virulent Poison ) Er's Virulent Poison hits Elite Practice Dummy for 67 Water damage. 
19:34:32: ( 23 , T=N#R=O#9223372047180340168 , T=N#R=O#9223372039469428166 , T=P#R=O#211669182715736592 , T=X#R=X#0 , Falcon , Abyssal Infiltrator , 65 , 1340496151 , Bite ) Falcon's Bite critically hits Abyssal Infiltrator for 65 Physical damage. 
19:34:33: ( 3 , T=P#R=O#211669182715736592 , T=N#R=O#9223372039469428166 , T=X#R=X#0 , T=X#R=X#0 , Allyxiss , Abyssal Infiltrator , 98 , 2014675980 , Searing Strike ) Allyxiss's Searing Strike hits Abyssal Infiltrator for 98 Fire damage. 
19:34:33: ( 4 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 22 , 623296176 , Quick Shot ) Elite Practice Dummy suffers 22 Physical damage from Er's Quick Shot. 
19:34:33: ( 3 , T=N#R=O#9223372039469428166 , T=P#R=O#211669182715736592 , T=X#R=X#0 , T=X#R=X#0 , Abyssal Infiltrator , Allyxiss , 20 , 795641470 , Crushing Blow ) Abyssal Infiltrator's Crushing Blow hits Allyxiss for 20 Physical damage. 
