06:48:10: ( 7 , T=P#R=O#211669182502159132 , T=P#R=O#211669182502159132 , T=X#R=X#0 , T=X#R=X#0 , Erhellen , Erhellen , 0 , 1092610256 , Temporary Rune Buff ) Erhellen's Temporary Rune Buff fades from Erhellen.
06:48:14: ( 14 , T=P#R=O#211669182725463782 , T=P#R=O#211669182725463782 , T=X#R=X#0 , T=X#R=X#0 , Takai , Takai , 481 , 316931269 , Falling Damage ) Takai takes 481 damage from Falling Damage. 
06:48:17: ( 6 , T=P#R=O#211669182590269305 , T=P#R=O#211669182590269305 , T=X#R=X#0 , T=X#R=X#0 , Windswept , Windswept , 0 , 265715720 , Sprint ) Windswept gains Windswept's Sprint.
06:48:17: ( 8 , T=P#R=O#211669182590269305 , T=P#R=O#211669182590269305 , T=X#R=X#0 , T=X#R=X#0 , Windswept , Windswept , 0 , 173817816 , Exhaustion ) Windswept is afflicted by Windswept's Exhaustion.
06:48:32: ( 7 , T=P#R=O#211669182590269305 , T=P#R=O#211669182590269305 , T=X#R=X#0 , T=X#R=X#0 , Windswept , Windswept , 0 , 265715720 , Sprint ) Windswept's Sprint fades from Windswept.
06:48:42: ( 7 , T=P#R=O#211669182712211289 , T=P#R=O#211669182712211289 , T=X#R=X#0 , T=X#R=X#0 , Snowblind , Snowblind , 0 , 1806924028 , Memory Capture ) Snowblind's Memory Capture fades from Snowblind.
06:48:42: ( 6 , T=P#R=O#211669182712211289 , T=P#R=O#211669182712211289 , T=X#R=X#0 , T=X#R=X#0 , Snowblind , Snowblind , 0 , 1806924028 , Memory Capture ) Snowblind gains Snowblind's Memory Capture.
06:48:44: ( 7 , T=P#R=O#211669182712211289 , T=P#R=O#211669182712211289 , T=X#R=X#0 , T=X#R=X#0 , Snowblind , Snowblind , 0 , 1806924028 , Memory Capture ) Snowblind's Memory Capture fades from Snowblind.
06:48:44: ( 6 , T=P#R=O#211669182712211289 , T=P#R=O#211669182712211289 , T=X#R=X#0 , T=X#R=X#0 , Snowblind , Snowblind , 0 , 1806924028 , Memory Capture ) Snowblind gains Snowblind's Memory Capture.
06:48:49: ( 1 , T=P#R=O#211669182662148657 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Darksun , Unknown , 0 , 10 , Runebreak ) Darksun begins casting Runebreak.
06:48:59: ( 5 , T=P#R=O#211669182611350183 , T=P#R=O#211669182611350183 , T=X#R=X#0 , T=X#R=X#0 , Shananise , Shananise , 439 , 1998712331 , Ironpine Melange ) Shananise's Ironpine Melange heals Shananise for 439. 
