05:21:40: ( 4 , T=P#R=O#211669182540508464 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Zach , Boss Practice Dummy , 35 , 1269233496 , Puncture ) Boss Practice Dummy suffers 35 Physical damage from Zach's Puncture. 
05:21:41: ( 3 , T=P#R=O#211669182540508464 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Zach , Boss Practice Dummy , 72 , 1270156362 , Auto Attack ) Zach's Auto Attack hits Boss Practice Dummy for 72 Physical damage. 
05:21:41: ( 4 , T=P#R=O#211669182540508464 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Zach , Boss Practice Dummy , 115 , 1508652891 , Serrated Blades ) Boss Practice Dummy suffers 115 Physical damage from Zach's Serrated Blades. 
05:21:41: ( 7 , T=P#R=O#211669182540508464 , T=P#R=O#211669182540508464 , T=X#R=X#0 , T=X#R=X#0 , Zach , Zach , 0 , 1092610256 , Temporary Rune Buff ) Zach's Temporary Rune Buff fades from Zach.
05:21:51: ( 1 , T=P#R=O#211669182577793363 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Unknown , 0 , 1714956323 , Haunting Pain ) Mythander begins casting Haunting Pain.
05:21:51: ( 2 , T=P#R=O#211669182577793363 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Unknown , 0 , 1714956323 , Haunting Pain ) Mythander's Haunting Pain has been interrupted.
05:21:55: ( 26 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 0 , 463135445 , Accelerated Decay ) Normal Practice Dummy is immune to Mythander's Accelerated Decay.
05:21:57: ( 1 , T=P#R=O#211669182577793363 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Unknown , 0 , 1714956323 , Haunting Pain ) Mythander begins casting Haunting Pain.
05:21:59: ( 7 , T=N#R=O#9223372045316399582 , T=P#R=O#211669182624520329 , T=P#R=O#211669182624520329 , T=X#R=X#0 , Tumnus , Moordecai , 0 , 1066126299 , Fury of the Fae ) Tumnus's Fury of the Fae fades from Moordecai.
05:21:59: ( 7 , T=N#R=O#9223372045316399582 , T=N#R=O#9223372045316399582 , T=P#R=O#211669182624520329 , T=P#R=O#211669182624520329 , Tumnus , Tumnus , 0 , 1066126299 , Fury of the Fae ) Tumnus's Fury of the Fae fades from Tumnus.
05:21:59: ( 8 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 0 , 338552497 , Haunting Pain ) Normal Practice Dummy is afflicted by Mythander's Haunting Pain.
05:21:59: ( 8 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 0 , 338552497 , Haunting Pain ) Normal Practice Dummy is afflicted by Mythander's Haunting Pain.
05:21:59: ( 8 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 0 , 338552497 , Haunting Pain ) Normal Practice Dummy is afflicted by Mythander's Haunting Pain.
05:21:59: ( 8 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 0 , 338552497 , Haunting Pain ) Normal Practice Dummy is afflicted by Mythander's Haunting Pain.
05:21:59: ( 8 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 0 , 338552497 , Haunting Pain ) Normal Practice Dummy is afflicted by Mythander's Haunting Pain.
05:21:59: ( 8 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 0 , 338552497 , Haunting Pain ) Normal Practice Dummy is afflicted by Mythander's Haunting Pain.
05:21:59: ( 8 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 0 , 338552497 , Haunting Pain ) Normal Practice Dummy is afflicted by Mythander's Haunting Pain.
05:21:59: ( 8 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 0 , 338552497 , Haunting Pain ) Normal Practice Dummy is afflicted by Mythander's Haunting Pain.
05:21:59: ( 8 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 0 , 338552497 , Haunting Pain ) Normal Practice Dummy is afflicted by Mythander's Haunting Pain.
05:21:59: ( 19 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 0 , 337234408 , Mana Wrench ) Normal Practice Dummy resists Mythander's Mana Wrench.
